region,geometry,province_count
Northern,"MULTIPOINT (16.0390625 99.23342509999999, 16.129768 99.28219729999999, 16.3857063 101.2681408, 16.5020573 98.7527391, 16.5060382 99.17040440000001, 16.571785000000002 100.97808979999999, 16.5790668 100.8825141, 16.7399536 101.5737192, 16.778628 98.9285642, 16.782454 99.015681, 16.8774283 99.6930719, 17.0039133 100.9942482, 17.0384754 98.62776219999999, 17.067942499999997 99.0851388, 17.1760642 100.3977642, 17.297810899999998 100.6833135, 17.4482577 99.2257815, 17.481744 98.074618, 17.553615399999998 99.48307940000001, 17.5959673 98.8055544, 17.6573611 100.5690524, 17.698467 100.946306, 17.846198100000002 97.9767184, 17.917568799999998 99.2497623, 17.9677815 99.5939471, 18.153496 99.987262, 18.1650923 97.8843021, 18.222532100000002 98.48174770000001, 18.235835199999997 97.9461063, 18.2515637 98.20920109999999, 18.2553174 99.5617783, 18.277102 100.5213486, 18.367578100000003 100.83916540000001, 18.4956917 99.2710882, 18.5176671 98.73709720000001, 18.5356262 98.52212390000001, 18.601533 100.980225, 18.605222 99.8977572, 18.611794600000003 100.16029559999998, 18.7230703 98.8215666, 18.8070052 98.91609059999999, 18.836605 99.47068, 18.8534047 98.6217699, 18.8562387 100.1819665, 18.9425473 98.0712134, 18.966333300000002 99.2420833, 19.0691986 99.07730759999998, 19.0767882 99.3993691, 19.1291113 100.64241159999999, 19.1767101 99.031908, 19.1810969 101.17974090000001, 19.198587300000003 101.0803208, 19.3138177 98.60417209999999, 19.3535327 99.86729759999999, 19.3816676 100.5384648, 19.386171100000002 98.8411959, 19.4256032 97.9871311, 19.443892 99.7030842, 19.601902 100.39560999999999, 19.6783992 99.19722800000001, 19.8505553 100.45388890000001, 19.9630913 99.67967990000001, 19.966044699999998 99.1548947, 20.381276899999996 99.86743409999998, 17.7669721 100.4866986)",65
Northeastern,"MULTIPOINT (14.4164525 104.6904048, 14.4391554 101.37222990000001, 15.2995471 105.4768308, 15.3991142 105.50826370000001, 15.631622 101.3938921, 15.874626500000002 101.5101438, 15.980718 102.0344942, 15.9994203 101.8956074, 16.2332053 104.7805257, 16.433516 104.8031018, 16.6243762 102.57007709999999, 16.6810931 102.2371119, 16.7565135 101.9684854, 16.811546300000003 102.6114058, 16.8679712 104.2823822, 16.8713048 101.84577259999999, 17.0623412 103.9731001, 17.267502 103.457996, 17.347391100000003 102.47419670000001, 17.5038264 100.9400141, 17.514190300000003 101.34491259999999, 17.924679 102.251, 17.9847482 104.1401922, 14.4343231 105.25215790000001)",24
Central,"MULTIPOINT (14.725773199999999 101.1889928, 14.440744400000002 100.9596264, 14.9465968 99.41578129999999)",3
Eastern,"MULTIPOINT (12.124744 102.2692555, 12.5295808 102.1842196, 12.5914129 101.41820129999999, 12.6178215 102.57714059999999, 12.839093 102.120875, 12.9199442 101.73268420000001, 13.177393599999998 102.0026223, 14.1292066 102.5817667, 14.2179107 101.9015096, 14.0430451 102.2319048)",10
Western,"MULTIPOINT (11.2103766 99.5235429, 11.625503 99.614021, 11.6360813 99.70250190000002, 12.0517132 99.62391509999999, 12.244129800000001 99.9328443, 12.84757 99.4122444, 14.3754962 99.1439623, 14.437605300000001 98.8505884, 14.6400065 98.9854103, 14.661963 99.3122907, 14.693312900000002 98.4045437, 14.889491399999999 98.7864054, 15.0243568 98.59777509999999, 13.2625759 99.4099728)",14
Southern,"MULTIPOINT (6.1993782 101.1722532, 6.2716244 101.6401353, 6.326626 100.9231178, 6.4267957000000004 101.856318, 6.5003523 101.63604609999999, 6.565047200000001 100.5941083, 6.5909625 99.45124320000001, 6.6576226 101.0965582, 6.710379 100.170902, 6.8358648 99.75490909999999, 7.4120685 99.3453503, 7.4704106 99.0992104, 7.680722500000001 99.8719278, 8.0470726 98.7991751, 8.0955089 98.2999167, 8.1722836 99.7418224, 8.2401636 98.9141474, 8.3065613 98.4577456, 8.3686946 99.7355853, 8.388935499999999 98.7350766, 8.4386914 98.2353543, 8.6440352 98.377758, 8.648735 97.6452604, 8.7712091 99.80448249999999, 8.8632229 99.4787892, 8.879994 98.674082, 8.987314300000001 98.6294329, 8.9983757 98.4580105, 9.0144093 99.7725192, 9.108152699999998 99.902439, 9.3079481 98.866061, 9.4389549 97.875466, 9.604353699999999 98.46736920000001, 9.745641 100.059303, 9.856330900000001 98.6276904, 9.875024900000001 98.587542, 10.0845829 98.66334599999999, 10.3568704 99.2317286, 9.6352349 99.67182199999999)",39
